OBJECTID,STATUS,AP_NAME,AP_NUMBER,MAP_NUMBER,AP_FULL_NAME,ADOPTED_DATE,CROP_TYPE,NONR_DATE,ACTIVE,AMENDMENT_NO,SHAPESTArea,SHAPESTLength
8910,O,SAGE,2,25,"SAGE NO. 2 MAP NO. 25",1969-04-14T00:00:00.000Z," ",,Y," ",13432709.8535156,17112.9563684399
8917,O,BLYTHE,11,583,"BLYTHE NO. 11 MAP NO. 583",1984-02-21T00:00:00.000Z," ",,N," ",16839557.4199219,23645.5371673426
8918,O,BLYTHE,24,759,"BLYTHE NO. 24 MAP NO. 759",1996-12-17T00:00:00.000Z," ",,Y," ",91878973.4824219,48612.285372242
8928,O,BLYTHE,17,752,"BLYTHE NO. 17 MAP NO. 752",1996-12-17T00:00:00.000Z," ",,Y," ",41338901.2119141,37295.7888444923
8931,O,"SAN GORGONIO PASS",1,161,"SAN GORGONIO PASS NO. 1 MAP NO. 161",1972-01-18T00:00:00.000Z," ",,Y," ",28751003.8701172,28586.1300416827
8933,O,BLYTHE,37,772,"BLYTHE NO. 37 MAP NO. 772",1996-12-17T00:00:00.000Z," ",,N," ",1788688.42285156,6647.11032902513
8934,O,BLYTHE,37,772,"BLYTHE NO. 37 MAP NO. 772",1996-12-17T00:00:00.000Z," ",,N," ",14714668.5058594,15812.0186057753
8935,O,BLYTHE,35,770,"BLYTHE NO. 35 MAP NO. 770",1996-12-17T00:00:00.000Z," ",,Y," ",2045477.71777344,6070.2834772457
8936,O,BLYTHE,35,770,"BLYTHE NO. 35 MAP NO. 770",1996-12-17T00:00:00.000Z," ",,Y," ",3462423.77441406,7875.868202343
8937,O,BLYTHE,15,750,"BLYTHE NO. 15 MAP NO. 750",1996-12-17T00:00:00.000Z," ",,Y," ",51400500.4882812,33585.9764936295
8938,O,BLYTHE,15,750,"BLYTHE NO. 15 MAP NO. 750",1996-12-17T00:00:00.000Z," ",,Y," ",41793208.9628906,36387.8221868679
8939,O,HIGHGROVE,1,63,"HIGHGROVE NO. 1 MAP NO. 63",1970-02-24T00:00:00.000Z," ",,N," ",5973087.56933594,13925.4216990125
8940,O,HIGHGROVE,1,63,"HIGHGROVE NO. 1 MAP NO. 63",1970-02-24T00:00:00.000Z," ",,N," ",2777322.67285156,7692.28166025083
8941,O,"EL SOBRANTE",2,210,"EL SOBRANTE NO. 2 MAP NO. 210",1972-02-01T00:00:00.000Z," ",,Y," ",99798.46484375,1481.23703927334
8943,O,MENIFEE,4,199,"MENIFEE NO. 4 MAP NO. 199",1972-01-25T00:00:00.000Z," ",,Y," ",1006150.29492188,4509.14630118646
8946,O,"MURRIETA HOT SPRINGS",9,178,"MURRIETA HOT SPRINGS NO. 9 MAP NO. 178",1972-01-18T00:00:00.000Z," ",,N," ",6927645.99121094,13114.7700221079
8951,O,"RANCHO CALIFORNIA",8,287,"RANCHO CALIFORNIA NO. 8 MAP NO. 287",1974-02-19T00:00:00.000Z," ",,Y," ",792434.905273438,3757.0491001065
8961,O,"EL SOBRANTE",1,18,"EL SOBRANTE NO. 1 MAP NO. 18",1969-02-24T00:00:00.000Z," ",,Y," ",321.068359375,418.408769440635
8977,O,"EL SOBRANTE",1,1044,"EL SOBRANTE NO. 1 MAP NO. 1044",," ",,N,22,431441.21875,2627.40332734519
